"x","a","b","c","d","e","f","g","h"
-0.0932125246178939,-0.0135992952300702,-0.126460197768829,0.0608720765155728,-0.0229478171468413,-0.0179941749559371,0.63089899358232,-0.0100478449344634,0.0619897992365733
2.03510795433286e-05,-0.114801837542667,0.0776502372831633,0.0727688192183703,0.0163907112120302,-0.115864152072169,0.0949836263444725,-0.00819173275900994,-0.0156197130247428
-0.0862255317560964,-0.0625135777294961,0.0985604021865582,0.0909960426230041,0.0159521998280641,0.0266184524879358,0.625291372008197,-0.00187383542512702,-0.0505789649349489
-0.00268737699710729,0.115217417954091,-0.028860745405511,0.047344532185843,0.0393223740817459,-0.0853092403582627,-0.935450556326638,0.0213730286969916,0.0216461136599138
-0.0384187540471416,0.118614104690672,-0.0848491369162446,0.0591789371513425,-0.0348934803371933,0.0291808029594105,-0.476196473739981,0.00806932559027512,-0.0600857805845921
-0.0651697468886317,-0.0689784634093554,0.0554037873395611,0.00576007069364645,0.054566980593157,0.161178911527123,-1.23286536452481,-0.0253166878782959,0.0150141612841831
0.104998677230356,0.0151479964771143,0.0835985033359449,0.0185283962942433,0.00869090870778773,0.112061354746023,-0.229478623242971,0.0519220302806542,-0.0251053632507028
-0.0856561284844026,0.0537558737094427,-0.00934655885082527,0.0766424516191147,0.0448066663222925,0.07597907416602,-0.15304731272466,-0.0191914049269673,0.0145368752464635
0.137087131499341,0.0197853352748337,-0.158707697798333,0.000549617723909391,0.0568575755376733,-0.168246418780369,1.06034193941209,0.0646713132053819,0.0471571525341251
0.000902163955269993,-0.120187347879547,0.0392294810275995,0.0435892536556889,0.0194824178491557,0.0531311877554513,-1.01760084975881,-0.0244980407731937,0.0164823665974116
0.0415565957276589,0.0218154530182375,-0.0750411425050196,-0.0114571562559098,-0.026648725119912,0.022186934548361,0.626776924626733,-0.0308757863107843,0.00214979895458315
0.12229097944134,0.056198302095202,0.00567717677752375,0.0158722719173476,-0.0494053085344998,-0.0101386103828491,-1.02727414457666,0.0547994472155665,0.0207938406434919
0.191565111087772,-0.0555655313720229,-0.110336369198073,-0.00261876066938816,-0.0168714117560746,0.0726908211145656,0.710870420630411,0.0110540510242433,0.00274417727840418
0.0184770067359413,-0.11522484196074,-0.15045542911484,-0.0401911759528113,0.0832128210769514,0.155230078393255,-0.336133343746771,-0.0214379153180628,-0.0181097620060484
